Position,Player Name,Team Name,Rating,Career Best Rating
,,,Rating,
 29 (0) ,Chris Woakes,ENG,580,"580 v Pakistan, 13/11/2022"
 30 (0) ,Mark Watt,SCO,578,"603 v New Zealand, 03/11/2021"
 31 (0) ,Naseem Shah,PAK,567,"567 v England, 13/11/2022"
 32 (0) ,Mohammad Wasim,PAK,558,"609 v Netherlands, 30/10/2022"
 33 (0) ,Shakib Al Hasan,BAN,555,"672 v Pakistan, 30/03/2014"
 34 (0) ,Lungi Ngidi,SA,551,"568 v Pakistan, 03/11/2022"
 35 (0) ,Mahedi Hasan,BAN,550,"632 v West Indies, 07/07/2022"
 36 (0) ,Mustafizur Rahman,BAN,547,"695 v Sri Lanka, 06/04/2017"
 37 (0) ,Wayne Parnell,SA,546,"561 v Australia, 07/11/2014"
 38 (0) ,Jason Holder,WI,540,"561 v England, 30/01/2022"
 39 (0) ,Dwaine Pretorius,SA,538,"576 v India, 14/06/2022"
 40 (0) ,Chris Jordan,ENG,538,"659 v New Zealand, 03/11/2019"
 41 (0) ,Yuzvendra Chahal,IND,537,"706 v Bangladesh, 18/03/2018"
